"Step","no_init_or_penalty-cyclone - forward loss","no_init_or_penalty-cyclone - forward loss__MIN","no_init_or_penalty-cyclone - forward loss__MAX","spectral_init_uniform-cyclone - forward loss","spectral_init_uniform-cyclone - forward loss__MIN","spectral_init_uniform-cyclone - forward loss__MAX","sepctral_eigen_init_with_2_to_2_uniform_distribution - forward loss","sepctral_eigen_init_with_2_to_2_uniform_distribution - forward loss__MIN","sepctral_eigen_init_with_2_to_2_uniform_distribution - forward loss__MAX","Maximal eigen-loss without eigen-initialisation - forward loss","Maximal eigen-loss without eigen-initialisation - forward loss__MIN","Maximal eigen-loss without eigen-initialisation - forward loss__MAX"
"0","55.95204162597656","55.95204162597656","55.95204162597656","0.6242059469223022","0.6242059469223022","0.6242059469223022","0.5895262956619263","0.5895262956619263","0.5895262956619263","0.2756801247596741","0.2756801247596741","0.2756801247596741"
"1","1.2636699676513672","1.2636699676513672","1.2636699676513672","0.4196263253688812","0.4196263253688812","0.4196263253688812","0.37333357334136963","0.37333357334136963","0.37333357334136963","1.1563198566436768","1.1563198566436768","1.1563198566436768"
"2","0.5455801486968994","0.5455801486968994","0.5455801486968994","0.3641321659088135","0.3641321659088135","0.3641321659088135","0.3383827209472656","0.3383827209472656","0.3383827209472656","0.2071339190006256","0.2071339190006256","0.2071339190006256"
"3","0.4460715651512146","0.4460715651512146","0.4460715651512146","0.3281545639038086","0.3281545639038086","0.3281545639038086","0.29846519231796265","0.29846519231796265","0.29846519231796265","0.23249714076519012","0.23249714076519012","0.23249714076519012"
"4","","","","","","","","","","0.20039036870002747","0.20039036870002747","0.20039036870002747"
"5","0.475851833820343","0.475851833820343","0.475851833820343","0.3089016079902649","0.3089016079902649","0.3089016079902649","0.28449782729148865","0.28449782729148865","0.28449782729148865","0.23772382736206055","0.23772382736206055","0.23772382736206055"
"6","0.4932956099510193","0.4932956099510193","0.4932956099510193","0.27975156903266907","0.27975156903266907","0.27975156903266907","0.2720051109790802","0.2720051109790802","0.2720051109790802","0.2132328897714615","0.2132328897714615","0.2132328897714615"
"7","0.5140253901481628","0.5140253901481628","0.5140253901481628","0.2646293044090271","0.2646293044090271","0.2646293044090271","0.2704738676548004","0.2704738676548004","0.2704738676548004","0.262006938457489","0.262006938457489","0.262006938457489"
"8","0.33788612484931946","0.33788612484931946","0.33788612484931946","0.25720319151878357","0.25720319151878357","0.25720319151878357","0.2679382562637329","0.2679382562637329","0.2679382562637329","0.2024170160293579","0.2024170160293579","0.2024170160293579"
"9","0.33920642733573914","0.33920642733573914","0.33920642733573914","0.25482556223869324","0.25482556223869324","0.25482556223869324","0.25937724113464355","0.25937724113464355","0.25937724113464355","0.18540136516094208","0.18540136516094208","0.18540136516094208"
"10","","","","","","","","","","0.4041902720928192","0.4041902720928192","0.4041902720928192"
"11","0.345674067735672","0.345674067735672","0.345674067735672","0.2588765323162079","0.2588765323162079","0.2588765323162079","0.2574979066848755","0.2574979066848755","0.2574979066848755","0.21853254735469818","0.21853254735469818","0.21853254735469818"
"12","0.5542586445808411","0.5542586445808411","0.5542586445808411","0.2501855492591858","0.2501855492591858","0.2501855492591858","0.2453686147928238","0.2453686147928238","0.2453686147928238","0.17925919592380524","0.17925919592380524","0.17925919592380524"
"13","0.7703676223754883","0.7703676223754883","0.7703676223754883","0.25506532192230225","0.25506532192230225","0.25506532192230225","0.24541911482810974","0.24541911482810974","0.24541911482810974","2.0091652870178223","2.0091652870178223","2.0091652870178223"
"14","0.4827008545398712","0.4827008545398712","0.4827008545398712","0.2505837082862854","0.2505837082862854","0.2505837082862854","0.25278735160827637","0.25278735160827637","0.25278735160827637","0.2163151502609253","0.2163151502609253","0.2163151502609253"
"15","0.35163578391075134","0.35163578391075134","0.35163578391075134","0.24848692119121552","0.24848692119121552","0.24848692119121552","0.2408604472875595","0.2408604472875595","0.2408604472875595","0.5235567688941956","0.5235567688941956","0.5235567688941956"
"16","","","","","","","","","","0.18839170038700104","0.18839170038700104","0.18839170038700104"
"17","0.2953428328037262","0.2953428328037262","0.2953428328037262","0.2422916740179062","0.2422916740179062","0.2422916740179062","0.24825938045978546","0.24825938045978546","0.24825938045978546","0.18649253249168396","0.18649253249168396","0.18649253249168396"
"18","0.49886447191238403","0.49886447191238403","0.49886447191238403","0.2444944679737091","0.2444944679737091","0.2444944679737091","0.2354017049074173","0.2354017049074173","0.2354017049074173","2.70088529586792","2.70088529586792","2.70088529586792"
"19","0.7426149249076843","0.7426149249076843","0.7426149249076843","0.24332264065742493","0.24332264065742493","0.24332264065742493","0.25108739733695984","0.25108739733695984","0.25108739733695984","0.27473607659339905","0.27473607659339905","0.27473607659339905"
"20","","","","0.23336561024188995","0.23336561024188995","0.23336561024188995","0.23305556178092957","0.23305556178092957","0.23305556178092957","0.21781933307647705","0.21781933307647705","0.21781933307647705"
"21","","","","0.23002669215202332","0.23002669215202332","0.23002669215202332","0.21790330111980438","0.21790330111980438","0.21790330111980438","0.22186905145645142","0.22186905145645142","0.22186905145645142"
"22","","","","","","","","","","0.19630908966064453","0.19630908966064453","0.19630908966064453"
"23","","","","0.2305424064397812","0.2305424064397812","0.2305424064397812","0.22666287422180176","0.22666287422180176","0.22666287422180176","0.18166622519493103","0.18166622519493103","0.18166622519493103"
"24","","","","0.22350449860095978","0.22350449860095978","0.22350449860095978","0.2235511690378189","0.2235511690378189","0.2235511690378189","1.3269073963165283","1.3269073963165283","1.3269073963165283"
"25","","","","0.2286452353000641","0.2286452353000641","0.2286452353000641","0.21924589574337006","0.21924589574337006","0.21924589574337006","0.19277119636535645","0.19277119636535645","0.19277119636535645"
"26","","","","0.2250562161207199","0.2250562161207199","0.2250562161207199","0.22189386188983917","0.22189386188983917","0.22189386188983917","0.1924087554216385","0.1924087554216385","0.1924087554216385"
"27","","","","0.22389838099479675","0.22389838099479675","0.22389838099479675","0.22228707373142242","0.22228707373142242","0.22228707373142242","0.17922177910804749","0.17922177910804749","0.17922177910804749"
"28","","","","","","","","","","0.2169734388589859","0.2169734388589859","0.2169734388589859"
"29","","","","0.22542476654052734","0.22542476654052734","0.22542476654052734","0.21652434766292572","0.21652434766292572","0.21652434766292572","0.19602394104003906","0.19602394104003906","0.19602394104003906"
"30","","","","0.23235078155994415","0.23235078155994415","0.23235078155994415","0.22195647656917572","0.22195647656917572","0.22195647656917572","0.19550934433937073","0.19550934433937073","0.19550934433937073"
"31","","","","0.22772668302059174","0.22772668302059174","0.22772668302059174","0.21543404459953308","0.21543404459953308","0.21543404459953308","0.25244277715682983","0.25244277715682983","0.25244277715682983"
"32","","","","0.21414679288864136","0.21414679288864136","0.21414679288864136","0.21544839441776276","0.21544839441776276","0.21544839441776276","0.18722069263458252","0.18722069263458252","0.18722069263458252"
"33","","","","0.2236749678850174","0.2236749678850174","0.2236749678850174","0.22423619031906128","0.22423619031906128","0.22423619031906128","0.4018913507461548","0.4018913507461548","0.4018913507461548"
"34","","","","","","","","","","0.6913720369338989","0.6913720369338989","0.6913720369338989"
"35","","","","0.22255149483680725","0.22255149483680725","0.22255149483680725","0.22639507055282593","0.22639507055282593","0.22639507055282593","5.983615875244141","5.983615875244141","5.983615875244141"
"36","","","","0.21791504323482513","0.21791504323482513","0.21791504323482513","0.2101835459470749","0.2101835459470749","0.2101835459470749","0.22055552899837494","0.22055552899837494","0.22055552899837494"
"37","","","","0.22433270514011383","0.22433270514011383","0.22433270514011383","0.21930637955665588","0.21930637955665588","0.21930637955665588","0.18740884959697723","0.18740884959697723","0.18740884959697723"
"38","","","","0.21254651248455048","0.21254651248455048","0.21254651248455048","0.21364463865756989","0.21364463865756989","0.21364463865756989","0.4730422794818878","0.4730422794818878","0.4730422794818878"
"39","","","","0.21367646753787994","0.21367646753787994","0.21367646753787994","0.2130231410264969","0.2130231410264969","0.2130231410264969","0.18422681093215942","0.18422681093215942","0.18422681093215942"
"40","","","","","","","","","","0.19477270543575287","0.19477270543575287","0.19477270543575287"
"41","","","","0.22306418418884277","0.22306418418884277","0.22306418418884277","0.2085724174976349","0.2085724174976349","0.2085724174976349","0.20642399787902832","0.20642399787902832","0.20642399787902832"
"42","","","","0.2190914750099182","0.2190914750099182","0.2190914750099182","0.2067057192325592","0.2067057192325592","0.2067057192325592","0.2128574103116989","0.2128574103116989","0.2128574103116989"
"43","","","","0.22020922601222992","0.22020922601222992","0.22020922601222992","0.2188979834318161","0.2188979834318161","0.2188979834318161","0.2660050094127655","0.2660050094127655","0.2660050094127655"
"44","","","","0.21143491566181183","0.21143491566181183","0.21143491566181183","0.20657634735107422","0.20657634735107422","0.20657634735107422","0.3174043297767639","0.3174043297767639","0.3174043297767639"
"45","","","","0.2043658047914505","0.2043658047914505","0.2043658047914505","0.2129015326499939","0.2129015326499939","0.2129015326499939","0.19572089612483978","0.19572089612483978","0.19572089612483978"
"46","","","","","","","","","","0.1752135306596756","0.1752135306596756","0.1752135306596756"
"47","","","","0.2108253538608551","0.2108253538608551","0.2108253538608551","0.21079082787036896","0.21079082787036896","0.21079082787036896","0.3027351498603821","0.3027351498603821","0.3027351498603821"
"48","","","","0.20148539543151855","0.20148539543151855","0.20148539543151855","0.2658960223197937","0.2658960223197937","0.2658960223197937","0.18680061399936676","0.18680061399936676","0.18680061399936676"
"49","","","","0.21100500226020813","0.21100500226020813","0.21100500226020813","0.21621131896972656","0.21621131896972656","0.21621131896972656","0.1979120969772339","0.1979120969772339","0.1979120969772339"
"50","","","","0.21181677281856537","0.21181677281856537","0.21181677281856537","0.20891769230365753","0.20891769230365753","0.20891769230365753","0.2869502007961273","0.2869502007961273","0.2869502007961273"
"51","","","","0.21171380579471588","0.21171380579471588","0.21171380579471588","0.28078693151474","0.28078693151474","0.28078693151474","0.1755378693342209","0.1755378693342209","0.1755378693342209"
"52","","","","","","","","","","0.9512691497802734","0.9512691497802734","0.9512691497802734"
"53","","","","0.19728000462055206","0.19728000462055206","0.19728000462055206","0.2101641744375229","0.2101641744375229","0.2101641744375229","0.28044840693473816","0.28044840693473816","0.28044840693473816"
"54","","","","0.21039673686027527","0.21039673686027527","0.21039673686027527","0.19605839252471924","0.19605839252471924","0.19605839252471924","6.428858757019043","6.428858757019043","6.428858757019043"
"55","","","","0.20605307817459106","0.20605307817459106","0.20605307817459106","0.19347919523715973","0.19347919523715973","0.19347919523715973","0.16751480102539062","0.16751480102539062","0.16751480102539062"
"56","","","","0.21336837112903595","0.21336837112903595","0.21336837112903595","0.20002825558185577","0.20002825558185577","0.20002825558185577","1.2687355279922485","1.2687355279922485","1.2687355279922485"
"57","","","","0.20253799855709076","0.20253799855709076","0.20253799855709076","0.23948092758655548","0.23948092758655548","0.23948092758655548","0.19336891174316406","0.19336891174316406","0.19336891174316406"
"58","","","","","","","","","","0.18601293861865997","0.18601293861865997","0.18601293861865997"
"59","","","","0.20413826406002045","0.20413826406002045","0.20413826406002045","0.19969673454761505","0.19969673454761505","0.19969673454761505","0.18092221021652222","0.18092221021652222","0.18092221021652222"
"60","","","","","","","0.19812524318695068","0.19812524318695068","0.19812524318695068","0.17783719301223755","0.17783719301223755","0.17783719301223755"
"61","","","","","","","0.1948416531085968","0.1948416531085968","0.1948416531085968","0.16910292208194733","0.16910292208194733","0.16910292208194733"
"62","","","","","","","0.20288245379924774","0.20288245379924774","0.20288245379924774","0.17609204351902008","0.17609204351902008","0.17609204351902008"
"63","","","","","","","0.1951264590024948","0.1951264590024948","0.1951264590024948","0.1756686568260193","0.1756686568260193","0.1756686568260193"
"64","","","","","","","","","","0.18074952065944672","0.18074952065944672","0.18074952065944672"
"65","","","","","","","0.19611579179763794","0.19611579179763794","0.19611579179763794","0.24501590430736542","0.24501590430736542","0.24501590430736542"
"66","","","","","","","0.1937265545129776","0.1937265545129776","0.1937265545129776","0.18516992032527924","0.18516992032527924","0.18516992032527924"
"67","","","","","","","0.20025543868541718","0.20025543868541718","0.20025543868541718","0.1842641830444336","0.1842641830444336","0.1842641830444336"
"68","","","","","","","0.20258042216300964","0.20258042216300964","0.20258042216300964","0.3033081293106079","0.3033081293106079","0.3033081293106079"
"69","","","","","","","0.19803370535373688","0.19803370535373688","0.19803370535373688","0.18453215062618256","0.18453215062618256","0.18453215062618256"
"70","","","","","","","","","","0.23958918452262878","0.23958918452262878","0.23958918452262878"
"71","","","","","","","0.19344359636306763","0.19344359636306763","0.19344359636306763","0.18519310653209686","0.18519310653209686","0.18519310653209686"
"72","","","","","","","0.21649470925331116","0.21649470925331116","0.21649470925331116","1.9748986959457397","1.9748986959457397","1.9748986959457397"
"73","","","","","","","0.20214679837226868","0.20214679837226868","0.20214679837226868","0.17492973804473877","0.17492973804473877","0.17492973804473877"
"74","","","","","","","0.19259245693683624","0.19259245693683624","0.19259245693683624","0.16839337348937988","0.16839337348937988","0.16839337348937988"
"75","","","","","","","0.19636601209640503","0.19636601209640503","0.19636601209640503","0.17421242594718933","0.17421242594718933","0.17421242594718933"
"76","","","","","","","","","","0.20978936553001404","0.20978936553001404","0.20978936553001404"
"77","","","","","","","0.1983705759048462","0.1983705759048462","0.1983705759048462","0.17573529481887817","0.17573529481887817","0.17573529481887817"
