"Step","inverse_eigen_penalty_diss5-pendulum - loss","inverse_eigen_penalty_diss5-pendulum - loss__MIN","inverse_eigen_penalty_diss5-pendulum - loss__MAX","average_eigen_penalty_diss5-pendulum - loss","average_eigen_penalty_diss5-pendulum - loss__MIN","average_eigen_penalty_diss5-pendulum - loss__MAX","max_eigen_penalty_diss5-pendulum - loss","max_eigen_penalty_diss5-pendulum - loss__MIN","max_eigen_penalty_diss5-pendulum - loss__MAX","no_methods_diss5-pendulum - loss","no_methods_diss5-pendulum - loss__MIN","no_methods_diss5-pendulum - loss__MAX"
"1","2.4060065746307373","2.4060065746307373","2.4060065746307373","6.185297012329102","6.185297012329102","6.185297012329102","26.424514770507812","26.424514770507812","26.424514770507812","4.021600246429443","4.021600246429443","4.021600246429443"
"3","26.1377010345459","26.1377010345459","26.1377010345459","5.451449871063232","5.451449871063232","5.451449871063232","6.2204718589782715","6.2204718589782715","6.2204718589782715","8.052024841308594","8.052024841308594","8.052024841308594"
"5","6.108266353607178","6.108266353607178","6.108266353607178","7.929985523223877","7.929985523223877","7.929985523223877","8.194586753845215","8.194586753845215","8.194586753845215","5.799668788909912","5.799668788909912","5.799668788909912"
"7","26.755104064941406","26.755104064941406","26.755104064941406","6.581856727600098","6.581856727600098","6.581856727600098","10.048765182495117","10.048765182495117","10.048765182495117","13.50940990447998","13.50940990447998","13.50940990447998"
"9","26.392250061035156","26.392250061035156","26.392250061035156","7.811800479888916","7.811800479888916","7.811800479888916","17.19422149658203","17.19422149658203","17.19422149658203","10.570905685424805","10.570905685424805","10.570905685424805"
"11","21.91457176208496","21.91457176208496","21.91457176208496","4.380288124084473","4.380288124084473","4.380288124084473","9.964588165283203","9.964588165283203","9.964588165283203","2.4266395568847656","2.4266395568847656","2.4266395568847656"
"13","1.9070554971694946","1.9070554971694946","1.9070554971694946","7.2928619384765625","7.2928619384765625","7.2928619384765625","11.725677490234375","11.725677490234375","11.725677490234375","10.318644523620605","10.318644523620605","10.318644523620605"
"15","1.11774480342865","1.11774480342865","1.11774480342865","4.302112579345703","4.302112579345703","4.302112579345703","9.253594398498535","9.253594398498535","9.253594398498535","11.367280006408691","11.367280006408691","11.367280006408691"
"17","15.69738483428955","15.69738483428955","15.69738483428955","4.288565158843994","4.288565158843994","4.288565158843994","5.891416072845459","5.891416072845459","5.891416072845459","6.2702436447143555","6.2702436447143555","6.2702436447143555"
"19","4.561830997467041","4.561830997467041","4.561830997467041","5.180607318878174","5.180607318878174","5.180607318878174","9.032978057861328","9.032978057861328","9.032978057861328","6.714959621429443","6.714959621429443","6.714959621429443"
"21","18.918195724487305","18.918195724487305","18.918195724487305","4.017373085021973","4.017373085021973","4.017373085021973","8.598249435424805","8.598249435424805","8.598249435424805","5.782094478607178","5.782094478607178","5.782094478607178"
"23","12.90357780456543","12.90357780456543","12.90357780456543","4.602807521820068","4.602807521820068","4.602807521820068","14.253548622131348","14.253548622131348","14.253548622131348","3.101184606552124","3.101184606552124","3.101184606552124"
"25","11.287453651428223","11.287453651428223","11.287453651428223","4.548677921295166","4.548677921295166","4.548677921295166","8.085909843444824","8.085909843444824","8.085909843444824","0.6359013319015503","0.6359013319015503","0.6359013319015503"
"27","12.594161987304688","12.594161987304688","12.594161987304688","4.2129974365234375","4.2129974365234375","4.2129974365234375","10.465559005737305","10.465559005737305","10.465559005737305","2.2854692935943604","2.2854692935943604","2.2854692935943604"
"29","2.4347848892211914","2.4347848892211914","2.4347848892211914","4.078327178955078","4.078327178955078","4.078327178955078","7.91118049621582","7.91118049621582","7.91118049621582","1.2247217893600464","1.2247217893600464","1.2247217893600464"
"31","1.922023892402649","1.922023892402649","1.922023892402649","4.421894073486328","4.421894073486328","4.421894073486328","6.535255432128906","6.535255432128906","6.535255432128906","4.005770206451416","4.005770206451416","4.005770206451416"
"33","0.3407430648803711","0.3407430648803711","0.3407430648803711","4.6027750968933105","4.6027750968933105","4.6027750968933105","6.560641288757324","6.560641288757324","6.560641288757324","0.8803462386131287","0.8803462386131287","0.8803462386131287"
"35","0.8416441082954407","0.8416441082954407","0.8416441082954407","4.173928260803223","4.173928260803223","4.173928260803223","7.807794570922852","7.807794570922852","7.807794570922852","0.36631157994270325","0.36631157994270325","0.36631157994270325"
"37","5.5240960121154785","5.5240960121154785","5.5240960121154785","4.260697364807129","4.260697364807129","4.260697364807129","4.739140510559082","4.739140510559082","4.739140510559082","9.859909057617188","9.859909057617188","9.859909057617188"
"39","1.7955291271209717","1.7955291271209717","1.7955291271209717","4.366426467895508","4.366426467895508","4.366426467895508","4.7784552574157715","4.7784552574157715","4.7784552574157715","3.009648323059082","3.009648323059082","3.009648323059082"
"41","1.9914616346359253","1.9914616346359253","1.9914616346359253","4.0827531814575195","4.0827531814575195","4.0827531814575195","7.45097017288208","7.45097017288208","7.45097017288208","2.405052661895752","2.405052661895752","2.405052661895752"
"43","13.307682991027832","13.307682991027832","13.307682991027832","4.643564224243164","4.643564224243164","4.643564224243164","4.638186931610107","4.638186931610107","4.638186931610107","2.774228572845459","2.774228572845459","2.774228572845459"
"45","6.820451736450195","6.820451736450195","6.820451736450195","4.2998433113098145","4.2998433113098145","4.2998433113098145","4.805981159210205","4.805981159210205","4.805981159210205","2.2825775146484375","2.2825775146484375","2.2825775146484375"
"47","1.0493415594100952","1.0493415594100952","1.0493415594100952","4.322795391082764","4.322795391082764","4.322795391082764","5.540782451629639","5.540782451629639","5.540782451629639","1.2301225662231445","1.2301225662231445","1.2301225662231445"
"49","1.6213524341583252","1.6213524341583252","1.6213524341583252","4.075723648071289","4.075723648071289","4.075723648071289","7.426214218139648","7.426214218139648","7.426214218139648","3.3672237396240234","3.3672237396240234","3.3672237396240234"
"51","4.254787921905518","4.254787921905518","4.254787921905518","4.012146949768066","4.012146949768066","4.012146949768066","6.006106853485107","6.006106853485107","6.006106853485107","0.7905039191246033","0.7905039191246033","0.7905039191246033"
