"Step","double_gaussian_dist_init_diss9-pendulum - loss","double_gaussian_dist_init_diss9-pendulum - loss__MIN","double_gaussian_dist_init_diss9-pendulum - loss__MAX","gaussian_dist_init_diss9-pendulum - loss","gaussian_dist_init_diss9-pendulum - loss__MIN","gaussian_dist_init_diss9-pendulum - loss__MAX","uniform_dist_init_diss9-pendulum - loss","uniform_dist_init_diss9-pendulum - loss__MIN","uniform_dist_init_diss9-pendulum - loss__MAX","no_method_diss9-pendulum - loss","no_method_diss9-pendulum - loss__MIN","no_method_diss9-pendulum - loss__MAX"
"1","0.3124726116657257","0.3124726116657257","0.3124726116657257","0.24733196198940277","0.24733196198940277","0.24733196198940277","0.14771336317062378","0.14771336317062378","0.14771336317062378","9.801198959350586","9.801198959350586","9.801198959350586"
"3","0.3014792501926422","0.3014792501926422","0.3014792501926422","0.30477994680404663","0.30477994680404663","0.30477994680404663","0.291239857673645","0.291239857673645","0.291239857673645","10.146745681762695","10.146745681762695","10.146745681762695"
"5","0.37947171926498413","0.37947171926498413","0.37947171926498413","0.29316848516464233","0.29316848516464233","0.29316848516464233","0.23670071363449097","0.23670071363449097","0.23670071363449097","7.525282859802246","7.525282859802246","7.525282859802246"
"7","0.25875720381736755","0.25875720381736755","0.25875720381736755","0.27931082248687744","0.27931082248687744","0.27931082248687744","0.23033617436885834","0.23033617436885834","0.23033617436885834","5.591968059539795","5.591968059539795","5.591968059539795"
"9","0.31251367926597595","0.31251367926597595","0.31251367926597595","0.21614836156368256","0.21614836156368256","0.21614836156368256","0.2716699242591858","0.2716699242591858","0.2716699242591858","4.7580084800720215","4.7580084800720215","4.7580084800720215"
"11","0.2492668181657791","0.2492668181657791","0.2492668181657791","0.2720758318901062","0.2720758318901062","0.2720758318901062","0.2026272714138031","0.2026272714138031","0.2026272714138031","3.461693048477173","3.461693048477173","3.461693048477173"
"13","0.27954545617103577","0.27954545617103577","0.27954545617103577","0.2013828158378601","0.2013828158378601","0.2013828158378601","0.26901552081108093","0.26901552081108093","0.26901552081108093","2.653033971786499","2.653033971786499","2.653033971786499"
"15","0.2733280658721924","0.2733280658721924","0.2733280658721924","0.24011734127998352","0.24011734127998352","0.24011734127998352","0.3166562020778656","0.3166562020778656","0.3166562020778656","3.197110176086426","3.197110176086426","3.197110176086426"
"17","0.24949690699577332","0.24949690699577332","0.24949690699577332","0.24974407255649567","0.24974407255649567","0.24974407255649567","0.25477686524391174","0.25477686524391174","0.25477686524391174","3.6704564094543457","3.6704564094543457","3.6704564094543457"
"19","0.21619831025600433","0.21619831025600433","0.21619831025600433","0.2881859242916107","0.2881859242916107","0.2881859242916107","0.30395105481147766","0.30395105481147766","0.30395105481147766","3.5500218868255615","3.5500218868255615","3.5500218868255615"
"21","0.2886642515659332","0.2886642515659332","0.2886642515659332","0.2803894579410553","0.2803894579410553","0.2803894579410553","0.28123781085014343","0.28123781085014343","0.28123781085014343","2.405975818634033","2.405975818634033","2.405975818634033"
"23","0.2153153121471405","0.2153153121471405","0.2153153121471405","0.2854700982570648","0.2854700982570648","0.2854700982570648","0.2151089310646057","0.2151089310646057","0.2151089310646057","3.4582386016845703","3.4582386016845703","3.4582386016845703"
"25","0.32874614000320435","0.32874614000320435","0.32874614000320435","0.24687962234020233","0.24687962234020233","0.24687962234020233","0.27858254313468933","0.27858254313468933","0.27858254313468933","2.7126452922821045","2.7126452922821045","2.7126452922821045"
"27","0.2747763991355896","0.2747763991355896","0.2747763991355896","0.1705634742975235","0.1705634742975235","0.1705634742975235","0.23063650727272034","0.23063650727272034","0.23063650727272034","2.9668498039245605","2.9668498039245605","2.9668498039245605"
"29","0.26223230361938477","0.26223230361938477","0.26223230361938477","0.28220197558403015","0.28220197558403015","0.28220197558403015","0.3412162661552429","0.3412162661552429","0.3412162661552429","2.705014228820801","2.705014228820801","2.705014228820801"
"31","0.29848548769950867","0.29848548769950867","0.29848548769950867","0.24870088696479797","0.24870088696479797","0.24870088696479797","0.2560538351535797","0.2560538351535797","0.2560538351535797","4.133436679840088","4.133436679840088","4.133436679840088"
"33","0.2698042392730713","0.2698042392730713","0.2698042392730713","0.25315502285957336","0.25315502285957336","0.25315502285957336","0.2760275900363922","0.2760275900363922","0.2760275900363922","1.7867366075515747","1.7867366075515747","1.7867366075515747"
"35","0.2570306956768036","0.2570306956768036","0.2570306956768036","0.2701047956943512","0.2701047956943512","0.2701047956943512","0.22220855951309204","0.22220855951309204","0.22220855951309204","1.1856406927108765","1.1856406927108765","1.1856406927108765"
"37","0.32830601930618286","0.32830601930618286","0.32830601930618286","0.27945035696029663","0.27945035696029663","0.27945035696029663","0.3308298587799072","0.3308298587799072","0.3308298587799072","2.943408250808716","2.943408250808716","2.943408250808716"
