"Step","gaussian_double_dist_init-pendulum - loss","gaussian_double_dist_init-pendulum - loss__MIN","gaussian_double_dist_init-pendulum - loss__MAX","gaussian_dist_init-pendulum - loss","gaussian_dist_init-pendulum - loss__MIN","gaussian_dist_init-pendulum - loss__MAX","uniform_dist_init-pendulum - loss","uniform_dist_init-pendulum - loss__MIN","uniform_dist_init-pendulum - loss__MAX","no methods pendulum - loss","no methods pendulum - loss__MIN","no methods pendulum - loss__MAX"
"1","0.9881120920181274","0.9881120920181274","0.9881120920181274","0.7603511810302734","0.7603511810302734","0.7603511810302734","0.7507230043411255","0.7507230043411255","0.7507230043411255","145.73081970214844","145.73081970214844","145.73081970214844"
"3","0.9018834233283997","0.9018834233283997","0.9018834233283997","0.7371541261672974","0.7371541261672974","0.7371541261672974","0.754625678062439","0.754625678062439","0.754625678062439","159.7297821044922","159.7297821044922","159.7297821044922"
"5","0.8917191624641418","0.8917191624641418","0.8917191624641418","0.7675985097885132","0.7675985097885132","0.7675985097885132","0.7727846503257751","0.7727846503257751","0.7727846503257751","126.00376892089844","126.00376892089844","126.00376892089844"
"7","0.8754745125770569","0.8754745125770569","0.8754745125770569","0.7641388177871704","0.7641388177871704","0.7641388177871704","0.7593110203742981","0.7593110203742981","0.7593110203742981","113.4332504272461","113.4332504272461","113.4332504272461"
"9","0.7378008365631104","0.7378008365631104","0.7378008365631104","0.7599789500236511","0.7599789500236511","0.7599789500236511","0.7429214715957642","0.7429214715957642","0.7429214715957642","98.88478088378906","98.88478088378906","98.88478088378906"
"11","0.8492754697799683","0.8492754697799683","0.8492754697799683","0.7306956648826599","0.7306956648826599","0.7306956648826599","0.7551149725914001","0.7551149725914001","0.7551149725914001","103.37893676757812","103.37893676757812","103.37893676757812"
"13","0.8488051891326904","0.8488051891326904","0.8488051891326904","0.739873468875885","0.739873468875885","0.739873468875885","0.7569535374641418","0.7569535374641418","0.7569535374641418","98.56440734863281","98.56440734863281","98.56440734863281"
"15","0.8785604238510132","0.8785604238510132","0.8785604238510132","0.7553369998931885","0.7553369998931885","0.7553369998931885","0.7490096688270569","0.7490096688270569","0.7490096688270569","97.92582702636719","97.92582702636719","97.92582702636719"
"17","0.8688587546348572","0.8688587546348572","0.8688587546348572","0.7558725476264954","0.7558725476264954","0.7558725476264954","0.7693197727203369","0.7693197727203369","0.7693197727203369","86.85582733154297","86.85582733154297","86.85582733154297"
"19","0.7796086668968201","0.7796086668968201","0.7796086668968201","0.7307668924331665","0.7307668924331665","0.7307668924331665","0.7347608208656311","0.7347608208656311","0.7347608208656311","74.98921203613281","74.98921203613281","74.98921203613281"
"21","0.8282376527786255","0.8282376527786255","0.8282376527786255","0.7658084034919739","0.7658084034919739","0.7658084034919739","0.7459372878074646","0.7459372878074646","0.7459372878074646","68.69783782958984","68.69783782958984","68.69783782958984"
"23","0.8444496989250183","0.8444496989250183","0.8444496989250183","0.7397677302360535","0.7397677302360535","0.7397677302360535","0.7475548982620239","0.7475548982620239","0.7475548982620239","64.81581115722656","64.81581115722656","64.81581115722656"
"25","0.8379151225090027","0.8379151225090027","0.8379151225090027","0.7389448285102844","0.7389448285102844","0.7389448285102844","0.7577165961265564","0.7577165961265564","0.7577165961265564","58.598262786865234","58.598262786865234","58.598262786865234"
"27","0.8594846725463867","0.8594846725463867","0.8594846725463867","0.7420210838317871","0.7420210838317871","0.7420210838317871","0.7444015741348267","0.7444015741348267","0.7444015741348267","62.147911071777344","62.147911071777344","62.147911071777344"
"29","0.8255283832550049","0.8255283832550049","0.8255283832550049","0.7543620467185974","0.7543620467185974","0.7543620467185974","0.7417934536933899","0.7417934536933899","0.7417934536933899","38.554840087890625","38.554840087890625","38.554840087890625"
"31","0.8497834801673889","0.8497834801673889","0.8497834801673889","0.7306450605392456","0.7306450605392456","0.7306450605392456","0.7541086673736572","0.7541086673736572","0.7541086673736572","45.226619720458984","45.226619720458984","45.226619720458984"
"33","0.8276328444480896","0.8276328444480896","0.8276328444480896","0.73670494556427","0.73670494556427","0.73670494556427","0.7237871885299683","0.7237871885299683","0.7237871885299683","33.33011245727539","33.33011245727539","33.33011245727539"
"35","0.7832322716712952","0.7832322716712952","0.7832322716712952","0.7334155440330505","0.7334155440330505","0.7334155440330505","0.7354826927185059","0.7354826927185059","0.7354826927185059","28.02398109436035","28.02398109436035","28.02398109436035"
"37","0.7969126105308533","0.7969126105308533","0.7969126105308533","0.7460160851478577","0.7460160851478577","0.7460160851478577","0.7305972576141357","0.7305972576141357","0.7305972576141357","26.410297393798828","26.410297393798828","26.410297393798828"
"39","0.7192009091377258","0.7192009091377258","0.7192009091377258","0.7490742206573486","0.7490742206573486","0.7490742206573486","0.7081701755523682","0.7081701755523682","0.7081701755523682","23.01881217956543","23.01881217956543","23.01881217956543"
"41","0.8079493641853333","0.8079493641853333","0.8079493641853333","0.7459317445755005","0.7459317445755005","0.7459317445755005","0.732921302318573","0.732921302318573","0.732921302318573","22.184528350830078","22.184528350830078","22.184528350830078"
"43","0.8303735852241516","0.8303735852241516","0.8303735852241516","0.7274684906005859","0.7274684906005859","0.7274684906005859","0.7476572394371033","0.7476572394371033","0.7476572394371033","23.443710327148438","23.443710327148438","23.443710327148438"
"45","0.7539348602294922","0.7539348602294922","0.7539348602294922","0.7275525331497192","0.7275525331497192","0.7275525331497192","0.7193350195884705","0.7193350195884705","0.7193350195884705","11.286870002746582","11.286870002746582","11.286870002746582"
"47","0.784314751625061","0.784314751625061","0.784314751625061","0.7196922302246094","0.7196922302246094","0.7196922302246094","0.7364398837089539","0.7364398837089539","0.7364398837089539","14.492264747619629","14.492264747619629","14.492264747619629"
