"Step","inverse_eigen_penalty_diss0-pendulum - loss","inverse_eigen_penalty_diss0-pendulum - loss__MIN","inverse_eigen_penalty_diss0-pendulum - loss__MAX","average_eigen_penalty_diss0-pendulum - loss","average_eigen_penalty_diss0-pendulum - loss__MIN","average_eigen_penalty_diss0-pendulum - loss__MAX","maximal_eigen_penalty_diss0-pendulum - loss","maximal_eigen_penalty_diss0-pendulum - loss__MIN","maximal_eigen_penalty_diss0-pendulum - loss__MAX","no methods pendulum - loss","no methods pendulum - loss__MIN","no methods pendulum - loss__MAX"
"1","43.56441116333008","43.56441116333008","43.56441116333008","440.0628662109375","440.0628662109375","440.0628662109375","168.58251953125","168.58251953125","168.58251953125","145.73081970214844","145.73081970214844","145.73081970214844"
"3","34.88749694824219","34.88749694824219","34.88749694824219","416.27410888671875","416.27410888671875","416.27410888671875","159.94252014160156","159.94252014160156","159.94252014160156","159.7297821044922","159.7297821044922","159.7297821044922"
"5","34.55945587158203","34.55945587158203","34.55945587158203","366.9520568847656","366.9520568847656","366.9520568847656","148.43310546875","148.43310546875","148.43310546875","126.00376892089844","126.00376892089844","126.00376892089844"
"7","27.887784957885742","27.887784957885742","27.887784957885742","429.161376953125","429.161376953125","429.161376953125","117.29535675048828","117.29535675048828","117.29535675048828","113.4332504272461","113.4332504272461","113.4332504272461"
"9","27.027353286743164","27.027353286743164","27.027353286743164","366.037353515625","366.037353515625","366.037353515625","123.73175811767578","123.73175811767578","123.73175811767578","98.88478088378906","98.88478088378906","98.88478088378906"
"11","24.291282653808594","24.291282653808594","24.291282653808594","247.3735809326172","247.3735809326172","247.3735809326172","95.73342895507812","95.73342895507812","95.73342895507812","103.37893676757812","103.37893676757812","103.37893676757812"
"13","24.11582374572754","24.11582374572754","24.11582374572754","240.9209442138672","240.9209442138672","240.9209442138672","85.6934814453125","85.6934814453125","85.6934814453125","98.56440734863281","98.56440734863281","98.56440734863281"
"15","19.866647720336914","19.866647720336914","19.866647720336914","219.6143035888672","219.6143035888672","219.6143035888672","60.3342170715332","60.3342170715332","60.3342170715332","97.92582702636719","97.92582702636719","97.92582702636719"
"17","14.287075996398926","14.287075996398926","14.287075996398926","214.8039093017578","214.8039093017578","214.8039093017578","74.72576141357422","74.72576141357422","74.72576141357422","86.85582733154297","86.85582733154297","86.85582733154297"
"19","14.345521926879883","14.345521926879883","14.345521926879883","207.90805053710938","207.90805053710938","207.90805053710938","62.57261657714844","62.57261657714844","62.57261657714844","74.98921203613281","74.98921203613281","74.98921203613281"
"21","14.086904525756836","14.086904525756836","14.086904525756836","141.9433135986328","141.9433135986328","141.9433135986328","51.43159484863281","51.43159484863281","51.43159484863281","68.69783782958984","68.69783782958984","68.69783782958984"
