"Step","init_and_loss_eigen_with_4_to_4_uniform_distribution - eigenvalue loss","init_and_loss_eigen_with_4_to_4_uniform_distribution - eigenvalue loss__MIN","init_and_loss_eigen_with_4_to_4_uniform_distribution - eigenvalue loss__MAX","eigen_initialisation_and_maximal_eigen_loss-2 - eigenvalue loss","eigen_initialisation_and_maximal_eigen_loss-2 - eigenvalue loss__MIN","eigen_initialisation_and_maximal_eigen_loss-2 - eigenvalue loss__MAX","experiment_dynamicKAE_e - eigenvalue loss","experiment_dynamicKAE_e - eigenvalue loss__MIN","experiment_dynamicKAE_e - eigenvalue loss__MAX","Maximal eigen-loss without eigen-initialisation - eigenvalue loss","Maximal eigen-loss without eigen-initialisation - eigenvalue loss__MIN","Maximal eigen-loss without eigen-initialisation - eigenvalue loss__MAX"
"0","1.8492317460416556","1.8492317460416556","1.8492317460416556","1.1453062076958431","1.1453062076958431","1.1453062076958431","0.8639284631725855","0.8639284631725855","0.8639284631725855","3.080974421723746","3.080974421723746","3.080974421723746"
"1","1.5268735102761108","1.5268735102761108","1.5268735102761108","0.984795295066525","0.984795295066525","0.984795295066525","0.7732613020216701","0.7732613020216701","0.7732613020216701","3.054280123489338","3.054280123489338","3.054280123489338"
"2","1.3774242937487944","1.3774242937487944","1.3774242937487944","0.9659038627892368","0.9659038627892368","0.9659038627892368","0.7678200522208036","0.7678200522208036","0.7678200522208036","3.033987580776459","3.033987580776459","3.033987580776459"
"3","1.2678498613741742","1.2678498613741742","1.2678498613741742","0.9311039533147127","0.9311039533147127","0.9311039533147127","0.7689192897529785","0.7689192897529785","0.7689192897529785","3.0143259565172458","3.0143259565172458","3.0143259565172458"
"4","1.1883530128856987","1.1883530128856987","1.1883530128856987","0.9204233721158582","0.9204233721158582","0.9204233721158582","0.7695456237364147","0.7695456237364147","0.7695456237364147","2.9960521469292862","2.9960521469292862","2.9960521469292862"
"5","1.172680374563677","1.172680374563677","1.172680374563677","0.8794653157288137","0.8794653157288137","0.8794653157288137","0.7707929117599768","0.7707929117599768","0.7707929117599768","2.9756480961120255","2.9756480961120255","2.9756480961120255"
"6","1.1563607226270398","1.1563607226270398","1.1563607226270398","0.8454016370280159","0.8454016370280159","0.8454016370280159","0.7715929488018287","0.7715929488018287","0.7715929488018287","2.954146652043678","2.954146652043678","2.954146652043678"
"7","1.1229279045068885","1.1229279045068885","1.1229279045068885","0.8530407505743474","0.8530407505743474","0.8530407505743474","0.7729939125883124","0.7729939125883124","0.7729939125883124","2.927137939808499","2.927137939808499","2.927137939808499"
"8","1.119657372634136","1.119657372634136","1.119657372634136","0.8404487914039376","0.8404487914039376","0.8404487914039376","0.7736619608682248","0.7736619608682248","0.7736619608682248","2.9029857763200764","2.9029857763200764","2.9029857763200764"
"9","1.0621878100537463","1.0621878100537463","1.0621878100537463","0.8357292657740438","0.8357292657740438","0.8357292657740438","0.773564803587037","0.773564803587037","0.773564803587037","2.882407226830851","2.882407226830851","2.882407226830851"
"10","1.035204957787327","1.035204957787327","1.035204957787327","0.823817119190131","0.823817119190131","0.823817119190131","0.7768706030249802","0.7768706030249802","0.7768706030249802","2.8591593871438676","2.8591593871438676","2.8591593871438676"
"11","0.99570950529025","0.99570950529025","0.99570950529025","0.8343100736720651","0.8343100736720651","0.8343100736720651","0.7728207358653426","0.7728207358653426","0.7728207358653426","2.8408578611555355","2.8408578611555355","2.8408578611555355"
"12","0.9392087775098586","0.9392087775098586","0.9392087775098586","0.8562358751670137","0.8562358751670137","0.8562358751670137","0.7753779977336522","0.7753779977336522","0.7753779977336522","2.816124185915811","2.816124185915811","2.816124185915811"
"13","0.8924556612464866","0.8924556612464866","0.8924556612464866","0.839903926618435","0.839903926618435","0.839903926618435","0.7761561681153187","0.7761561681153187","0.7761561681153187","2.7959483772971545","2.7959483772971545","2.7959483772971545"
"14","0.8902558206879091","0.8902558206879091","0.8902558206879091","0.8510605368602482","0.8510605368602482","0.8510605368602482","0.7750075522554151","0.7750075522554151","0.7750075522554151","2.775479651133197","2.775479651133197","2.775479651133197"
"15","0.8722285213666329","0.8722285213666329","0.8722285213666329","0.8454412844008411","0.8454412844008411","0.8454412844008411","0.7768007901835939","0.7768007901835939","0.7768007901835939","2.757873807721315","2.757873807721315","2.757873807721315"
