"Step","gauss_dist_init_diss5-pendulum - loss","gauss_dist_init_diss5-pendulum - loss__MIN","gauss_dist_init_diss5-pendulum - loss__MAX","double_gauss_dist_init_diss5-pendulum - loss","double_gauss_dist_init_diss5-pendulum - loss__MIN","double_gauss_dist_init_diss5-pendulum - loss__MAX","unfirom_dist_init_diss5-pendulum - loss","unfirom_dist_init_diss5-pendulum - loss__MIN","unfirom_dist_init_diss5-pendulum - loss__MAX","no_methods_diss5-pendulum - loss","no_methods_diss5-pendulum - loss__MIN","no_methods_diss5-pendulum - loss__MAX"
"1","0.013819629326462746","0.013819629326462746","0.013819629326462746","0.049595654010772705","0.049595654010772705","0.049595654010772705","0.01988750509917736","0.01988750509917736","0.01988750509917736","4.021600246429443","4.021600246429443","4.021600246429443"
"3","0.07092249393463135","0.07092249393463135","0.07092249393463135","0.04806434363126755","0.04806434363126755","0.04806434363126755","0.11278526484966278","0.11278526484966278","0.11278526484966278","8.052024841308594","8.052024841308594","8.052024841308594"
"5","0.027004385367035866","0.027004385367035866","0.027004385367035866","0.051314033567905426","0.051314033567905426","0.051314033567905426","0.03676094114780426","0.03676094114780426","0.03676094114780426","5.799668788909912","5.799668788909912","5.799668788909912"
"7","0.055585749447345734","0.055585749447345734","0.055585749447345734","0.0524003803730011","0.0524003803730011","0.0524003803730011","0.07943826913833618","0.07943826913833618","0.07943826913833618","13.50940990447998","13.50940990447998","13.50940990447998"
"9","0.0005536350654438138","0.0005536350654438138","0.0005536350654438138","0.06014687940478325","0.06014687940478325","0.06014687940478325","0.03619087487459183","0.03619087487459183","0.03619087487459183","10.570905685424805","10.570905685424805","10.570905685424805"
"11","0.005267329979687929","0.005267329979687929","0.005267329979687929","0.009034191258251667","0.009034191258251667","0.009034191258251667","0.07266376167535782","0.07266376167535782","0.07266376167535782","2.4266395568847656","2.4266395568847656","2.4266395568847656"
"13","0.03368891775608063","0.03368891775608063","0.03368891775608063","0.0008530089980922639","0.0008530089980922639","0.0008530089980922639","0.09672517329454422","0.09672517329454422","0.09672517329454422","10.318644523620605","10.318644523620605","10.318644523620605"
"15","0.027757884934544563","0.027757884934544563","0.027757884934544563","0.0884258970618248","0.0884258970618248","0.0884258970618248","0.0015686957631260157","0.0015686957631260157","0.0015686957631260157","11.367280006408691","11.367280006408691","11.367280006408691"
"17","0.05562092363834381","0.05562092363834381","0.05562092363834381","0.008949864655733109","0.008949864655733109","0.008949864655733109","0.014537759125232697","0.014537759125232697","0.014537759125232697","6.2702436447143555","6.2702436447143555","6.2702436447143555"
"19","0.014562509953975677","0.014562509953975677","0.014562509953975677","0.043507665395736694","0.043507665395736694","0.043507665395736694","0.029443901032209396","0.029443901032209396","0.029443901032209396","6.714959621429443","6.714959621429443","6.714959621429443"
"21","0.061149805784225464","0.061149805784225464","0.061149805784225464","0.044837795197963715","0.044837795197963715","0.044837795197963715","0.052371419966220856","0.052371419966220856","0.052371419966220856","5.782094478607178","5.782094478607178","5.782094478607178"
"23","0.024652352556586266","0.024652352556586266","0.024652352556586266","0.038709986954927444","0.038709986954927444","0.038709986954927444","0.005627308506518602","0.005627308506518602","0.005627308506518602","3.101184606552124","3.101184606552124","3.101184606552124"
"25","0.03503070026636124","0.03503070026636124","0.03503070026636124","0.08734642714262009","0.08734642714262009","0.08734642714262009","0.013441610150039196","0.013441610150039196","0.013441610150039196","0.6359013319015503","0.6359013319015503","0.6359013319015503"
"27","0.05516308173537254","0.05516308173537254","0.05516308173537254","0.07796534895896912","0.07796534895896912","0.07796534895896912","0.007191147655248642","0.007191147655248642","0.007191147655248642","2.2854692935943604","2.2854692935943604","2.2854692935943604"
"29","0.04712678864598274","0.04712678864598274","0.04712678864598274","0.05204344168305397","0.05204344168305397","0.05204344168305397","0.0495886355638504","0.0495886355638504","0.0495886355638504","1.2247217893600464","1.2247217893600464","1.2247217893600464"
"31","0.014235924929380417","0.014235924929380417","0.014235924929380417","0.12370215356349945","0.12370215356349945","0.12370215356349945","0.02298862673342228","0.02298862673342228","0.02298862673342228","4.005770206451416","4.005770206451416","4.005770206451416"
"33","0.04163060709834099","0.04163060709834099","0.04163060709834099","0.0011238225270062685","0.0011238225270062685","0.0011238225270062685","0.11449544876813889","0.11449544876813889","0.11449544876813889","0.8803462386131287","0.8803462386131287","0.8803462386131287"
"35","0.046109963208436966","0.046109963208436966","0.046109963208436966","0.017568977549672127","0.017568977549672127","0.017568977549672127","0.004905614536255598","0.004905614536255598","0.004905614536255598","0.36631157994270325","0.36631157994270325","0.36631157994270325"
"37","0.05486971512436867","0.05486971512436867","0.05486971512436867","0.01889910362660885","0.01889910362660885","0.01889910362660885","0.07627584040164948","0.07627584040164948","0.07627584040164948","9.859909057617188","9.859909057617188","9.859909057617188"
"39","0.03546886146068573","0.03546886146068573","0.03546886146068573","0.03254203870892525","0.03254203870892525","0.03254203870892525","0.0393005795776844","0.0393005795776844","0.0393005795776844","3.009648323059082","3.009648323059082","3.009648323059082"
"41","0.04232732579112053","0.04232732579112053","0.04232732579112053","0.038300588726997375","0.038300588726997375","0.038300588726997375","0.04544581472873688","0.04544581472873688","0.04544581472873688","2.405052661895752","2.405052661895752","2.405052661895752"
"43","0.0879889577627182","0.0879889577627182","0.0879889577627182","0.01933927834033966","0.01933927834033966","0.01933927834033966","0.032213374972343445","0.032213374972343445","0.032213374972343445","2.774228572845459","2.774228572845459","2.774228572845459"
"45","0.019462214782834053","0.019462214782834053","0.019462214782834053","0.005106800701469183","0.005106800701469183","0.005106800701469183","0.022720003500580788","0.022720003500580788","0.022720003500580788","2.2825775146484375","2.2825775146484375","2.2825775146484375"
