"Step","max_eigen_penalty_diss9-pendulum - loss","max_eigen_penalty_diss9-pendulum - loss__MIN","max_eigen_penalty_diss9-pendulum - loss__MAX","average_eigen_penalty_diss9-pendulum - loss","average_eigen_penalty_diss9-pendulum - loss__MIN","average_eigen_penalty_diss9-pendulum - loss__MAX","inverse_eigen_penalty_diss9-pendulum - loss","inverse_eigen_penalty_diss9-pendulum - loss__MIN","inverse_eigen_penalty_diss9-pendulum - loss__MAX","no_method_diss9-pendulum - loss","no_method_diss9-pendulum - loss__MIN","no_method_diss9-pendulum - loss__MAX"
"1","10.305220603942871","10.305220603942871","10.305220603942871","117.04501342773438","117.04501342773438","117.04501342773438","58.76848220825195","58.76848220825195","58.76848220825195","9.801198959350586","9.801198959350586","9.801198959350586"
"3","8.582842826843262","8.582842826843262","8.582842826843262","111.88868713378906","111.88868713378906","111.88868713378906","41.98469924926758","41.98469924926758","41.98469924926758","10.146745681762695","10.146745681762695","10.146745681762695"
"5","7.83612585067749","7.83612585067749","7.83612585067749","142.32516479492188","142.32516479492188","142.32516479492188","28.535354614257812","28.535354614257812","28.535354614257812","7.525282859802246","7.525282859802246","7.525282859802246"
"7","7.709230899810791","7.709230899810791","7.709230899810791","87.61158752441406","87.61158752441406","87.61158752441406","47.066104888916016","47.066104888916016","47.066104888916016","5.591968059539795","5.591968059539795","5.591968059539795"
"9","7.080619812011719","7.080619812011719","7.080619812011719","96.95779418945312","96.95779418945312","96.95779418945312","44.641605377197266","44.641605377197266","44.641605377197266","4.7580084800720215","4.7580084800720215","4.7580084800720215"
"11","9.846562385559082","9.846562385559082","9.846562385559082","73.51730346679688","73.51730346679688","73.51730346679688","38.518436431884766","38.518436431884766","38.518436431884766","3.461693048477173","3.461693048477173","3.461693048477173"
"13","5.8723039627075195","5.8723039627075195","5.8723039627075195","128.84759521484375","128.84759521484375","128.84759521484375","26.905954360961914","26.905954360961914","26.905954360961914","2.653033971786499","2.653033971786499","2.653033971786499"
"15","6.9564104080200195","6.9564104080200195","6.9564104080200195","96.08687591552734","96.08687591552734","96.08687591552734","25.237770080566406","25.237770080566406","25.237770080566406","3.197110176086426","3.197110176086426","3.197110176086426"
"17","6.725518226623535","6.725518226623535","6.725518226623535","110.84696197509766","110.84696197509766","110.84696197509766","19.04627227783203","19.04627227783203","19.04627227783203","3.6704564094543457","3.6704564094543457","3.6704564094543457"
"19","7.080440044403076","7.080440044403076","7.080440044403076","63.84196090698242","63.84196090698242","63.84196090698242","17.790908813476562","17.790908813476562","17.790908813476562","3.5500218868255615","3.5500218868255615","3.5500218868255615"
"21","6.062376976013184","6.062376976013184","6.062376976013184","86.18038940429688","86.18038940429688","86.18038940429688","20.114057540893555","20.114057540893555","20.114057540893555","2.405975818634033","2.405975818634033","2.405975818634033"
"23","7.239772319793701","7.239772319793701","7.239772319793701","97.77413940429688","97.77413940429688","97.77413940429688","15.705301284790039","15.705301284790039","15.705301284790039","3.4582386016845703","3.4582386016845703","3.4582386016845703"
"25","6.161092758178711","6.161092758178711","6.161092758178711","65.96100616455078","65.96100616455078","65.96100616455078","19.22356605529785","19.22356605529785","19.22356605529785","2.7126452922821045","2.7126452922821045","2.7126452922821045"
"27","6.096831798553467","6.096831798553467","6.096831798553467","51.69271469116211","51.69271469116211","51.69271469116211","17.905040740966797","17.905040740966797","17.905040740966797","2.9668498039245605","2.9668498039245605","2.9668498039245605"
"29","5.107127666473389","5.107127666473389","5.107127666473389","37.82270812988281","37.82270812988281","37.82270812988281","17.314119338989258","17.314119338989258","17.314119338989258","2.705014228820801","2.705014228820801","2.705014228820801"
"31","5.097867012023926","5.097867012023926","5.097867012023926","50.879981994628906","50.879981994628906","50.879981994628906","14.65056037902832","14.65056037902832","14.65056037902832","4.133436679840088","4.133436679840088","4.133436679840088"
"33","5.689108848571777","5.689108848571777","5.689108848571777","39.080204010009766","39.080204010009766","39.080204010009766","9.362558364868164","9.362558364868164","9.362558364868164","1.7867366075515747","1.7867366075515747","1.7867366075515747"
"35","5.39224100112915","5.39224100112915","5.39224100112915","36.2905158996582","36.2905158996582","36.2905158996582","10.497007369995117","10.497007369995117","10.497007369995117","1.1856406927108765","1.1856406927108765","1.1856406927108765"
"37","5.17656135559082","5.17656135559082","5.17656135559082","50.19308853149414","50.19308853149414","50.19308853149414","10.099759101867676","10.099759101867676","10.099759101867676","2.943408250808716","2.943408250808716","2.943408250808716"
"39","5.05042028427124","5.05042028427124","5.05042028427124","34.0440673828125","34.0440673828125","34.0440673828125","8.542916297912598","8.542916297912598","8.542916297912598","2.063886880874634","2.063886880874634","2.063886880874634"
"41","4.87468957901001","4.87468957901001","4.87468957901001","57.29645538330078","57.29645538330078","57.29645538330078","12.732059478759766","12.732059478759766","12.732059478759766","2.0411462783813477","2.0411462783813477","2.0411462783813477"
"43","4.960838317871094","4.960838317871094","4.960838317871094","32.024295806884766","32.024295806884766","32.024295806884766","11.963586807250977","11.963586807250977","11.963586807250977","1.5804729461669922","1.5804729461669922","1.5804729461669922"
"45","5.0235490798950195","5.0235490798950195","5.0235490798950195","35.47188949584961","35.47188949584961","35.47188949584961","7.594563961029053","7.594563961029053","7.594563961029053","1.0499904155731201","1.0499904155731201","1.0499904155731201"
"47","5.132115840911865","5.132115840911865","5.132115840911865","21.48879051208496","21.48879051208496","21.48879051208496","3.460616111755371","3.460616111755371","3.460616111755371","0.7573052644729614","0.7573052644729614","0.7573052644729614"
"49","5.011634349822998","5.011634349822998","5.011634349822998","28.87689208984375","28.87689208984375","28.87689208984375","4.436349868774414","4.436349868774414","4.436349868774414","1.2706154584884644","1.2706154584884644","1.2706154584884644"
"51","5.192065238952637","5.192065238952637","5.192065238952637","21.47386360168457","21.47386360168457","21.47386360168457","5.312696933746338","5.312696933746338","5.312696933746338","1.327520489692688","1.327520489692688","1.327520489692688"
"53","4.912358283996582","4.912358283996582","4.912358283996582","29.33664894104004","29.33664894104004","29.33664894104004","4.818841457366943","4.818841457366943","4.818841457366943","1.1509323120117188","1.1509323120117188","1.1509323120117188"
"55","5.19097375869751","5.19097375869751","5.19097375869751","30.553613662719727","30.553613662719727","30.553613662719727","3.6901121139526367","3.6901121139526367","3.6901121139526367","0.7920793294906616","0.7920793294906616","0.7920793294906616"
"57","4.408970355987549","4.408970355987549","4.408970355987549","16.391836166381836","16.391836166381836","16.391836166381836","3.9604456424713135","3.9604456424713135","3.9604456424713135","1.0355018377304077","1.0355018377304077","1.0355018377304077"
"59","4.456254959106445","4.456254959106445","4.456254959106445","24.677947998046875","24.677947998046875","24.677947998046875","4.48997163772583","4.48997163772583","4.48997163772583","1.6335351467132568","1.6335351467132568","1.6335351467132568"
"61","4.86253023147583","4.86253023147583","4.86253023147583","12.005131721496582","12.005131721496582","12.005131721496582","3.1837494373321533","3.1837494373321533","3.1837494373321533","1.1325472593307495","1.1325472593307495","1.1325472593307495"
"63","4.765110015869141","4.765110015869141","4.765110015869141","16.71197509765625","16.71197509765625","16.71197509765625","4.106592178344727","4.106592178344727","4.106592178344727","0.9590560793876648","0.9590560793876648","0.9590560793876648"
"65","5.003820896148682","5.003820896148682","5.003820896148682","22.618515014648438","22.618515014648438","22.618515014648438","2.731640100479126","2.731640100479126","2.731640100479126","0.8186376094818115","0.8186376094818115","0.8186376094818115"
"67","4.848201751708984","4.848201751708984","4.848201751708984","16.969724655151367","16.969724655151367","16.969724655151367","2.57004714012146","2.57004714012146","2.57004714012146","0.6674128174781799","0.6674128174781799","0.6674128174781799"
"69","4.82958459854126","4.82958459854126","4.82958459854126","12.019370079040527","12.019370079040527","12.019370079040527","1.9568532705307007","1.9568532705307007","1.9568532705307007","0.3829689621925354","0.3829689621925354","0.3829689621925354"
"71","4.564609050750732","4.564609050750732","4.564609050750732","13.224565505981445","13.224565505981445","13.224565505981445","2.2058603763580322","2.2058603763580322","2.2058603763580322","0.3664731979370117","0.3664731979370117","0.3664731979370117"
"73","4.939149856567383","4.939149856567383","4.939149856567383","10.676315307617188","10.676315307617188","10.676315307617188","1.3105734586715698","1.3105734586715698","1.3105734586715698","0.8753659129142761","0.8753659129142761","0.8753659129142761"
"75","4.430613040924072","4.430613040924072","4.430613040924072","13.873310089111328","13.873310089111328","13.873310089111328","2.415040969848633","2.415040969848633","2.415040969848633","0.6408467888832092","0.6408467888832092","0.6408467888832092"
"77","4.840667724609375","4.840667724609375","4.840667724609375","11.604734420776367","11.604734420776367","11.604734420776367","0.9515235424041748","0.9515235424041748","0.9515235424041748","0.8019808530807495","0.8019808530807495","0.8019808530807495"
"79","4.672417640686035","4.672417640686035","4.672417640686035","15.06961441040039","15.06961441040039","15.06961441040039","1.4992649555206299","1.4992649555206299","1.4992649555206299","0.7252386212348938","0.7252386212348938","0.7252386212348938"
