"Step","eigenloss_and_eigeninit-ocean - forward loss","eigenloss_and_eigeninit-ocean - forward loss__MIN","eigenloss_and_eigeninit-ocean - forward loss__MAX","eigenloss_only-ocean - forward loss","eigenloss_only-ocean - forward loss__MIN","eigenloss_only-ocean - forward loss__MAX","eigen_init_vanilla-ocean - forward loss","eigen_init_vanilla-ocean - forward loss__MIN","eigen_init_vanilla-ocean - forward loss__MAX","initial_run_ocean-ocean - forward loss","initial_run_ocean-ocean - forward loss__MIN","initial_run_ocean-ocean - forward loss__MAX"
"1","0.0034827333875000477","0.0034827333875000477","0.0034827333875000477","9.899393081665039","9.899393081665039","9.899393081665039","0.005156122613698244","0.005156122613698244","0.005156122613698244","5.609238624572754","5.609238624572754","5.609238624572754"
"3","0.003909335471689701","0.003909335471689701","0.003909335471689701","2.289769172668457","2.289769172668457","2.289769172668457","0.0027773678302764893","0.0027773678302764893","0.0027773678302764893","2.4508469104766846","2.4508469104766846","2.4508469104766846"
"5","0.0030153405386954546","0.0030153405386954546","0.0030153405386954546","1.0696910619735718","1.0696910619735718","1.0696910619735718","0.004106590524315834","0.004106590524315834","0.004106590524315834","1.0457816123962402","1.0457816123962402","1.0457816123962402"
"7","0.0038704322651028633","0.0038704322651028633","0.0038704322651028633","0.3872174024581909","0.3872174024581909","0.3872174024581909","0.0024518100544810295","0.0024518100544810295","0.0024518100544810295","0.49180829524993896","0.49180829524993896","0.49180829524993896"
"9","0.003777110716328025","0.003777110716328025","0.003777110716328025","0.5057141184806824","0.5057141184806824","0.5057141184806824","0.003598092356696725","0.003598092356696725","0.003598092356696725","0.4335840046405792","0.4335840046405792","0.4335840046405792"
"11","0.0026821799110621214","0.0026821799110621214","0.0026821799110621214","0.7054376006126404","0.7054376006126404","0.7054376006126404","0.003031917382031679","0.003031917382031679","0.003031917382031679","0.2360103726387024","0.2360103726387024","0.2360103726387024"
"13","0.0021043054293841124","0.0021043054293841124","0.0021043054293841124","0.1927819401025772","0.1927819401025772","0.1927819401025772","0.002565615577623248","0.002565615577623248","0.002565615577623248","0.40882423520088196","0.40882423520088196","0.40882423520088196"
"15","0.002212516963481903","0.002212516963481903","0.002212516963481903","0.37517258524894714","0.37517258524894714","0.37517258524894714","0.0012830004561692476","0.0012830004561692476","0.0012830004561692476","0.13230778276920319","0.13230778276920319","0.13230778276920319"
"17","0.0024196032900363207","0.0024196032900363207","0.0024196032900363207","0.14168336987495422","0.14168336987495422","0.14168336987495422","0.001855058129876852","0.001855058129876852","0.001855058129876852","0.2503989338874817","0.2503989338874817","0.2503989338874817"
"19","0.0013714222004637122","0.0013714222004637122","0.0013714222004637122","0.1853981614112854","0.1853981614112854","0.1853981614112854","0.001185175497084856","0.001185175497084856","0.001185175497084856","0.2619769871234894","0.2619769871234894","0.2619769871234894"
"21","0.0009860857389867306","0.0009860857389867306","0.0009860857389867306","0.2801060080528259","0.2801060080528259","0.2801060080528259","0.0011009254958480597","0.0011009254958480597","0.0011009254958480597","0.0699208602309227","0.0699208602309227","0.0699208602309227"
"23","0.001004236051812768","0.001004236051812768","0.001004236051812768","0.1538444608449936","0.1538444608449936","0.1538444608449936","0.0008269622339867055","0.0008269622339867055","0.0008269622339867055","0.10899577289819717","0.10899577289819717","0.10899577289819717"
"25","0.0008685988141223788","0.0008685988141223788","0.0008685988141223788","0.13865186274051666","0.13865186274051666","0.13865186274051666","0.0006224352982826531","0.0006224352982826531","0.0006224352982826531","0.14809659123420715","0.14809659123420715","0.14809659123420715"
"27","0.0005451265606097877","0.0005451265606097877","0.0005451265606097877","0.06689769774675369","0.06689769774675369","0.06689769774675369","0.0005449034506455064","0.0005449034506455064","0.0005449034506455064","0.07184094190597534","0.07184094190597534","0.07184094190597534"
"29","0.0007327850908041","0.0007327850908041","0.0007327850908041","0.09089525789022446","0.09089525789022446","0.09089525789022446","0.0003587234823498875","0.0003587234823498875","0.0003587234823498875","0.04517634958028793","0.04517634958028793","0.04517634958028793"
"31","0.0005959379486739635","0.0005959379486739635","0.0005959379486739635","0.06839553266763687","0.06839553266763687","0.06839553266763687","0.0005980278947390616","0.0005980278947390616","0.0005980278947390616","0.11210772395133972","0.11210772395133972","0.11210772395133972"
"33","0.000308698887238279","0.000308698887238279","0.000308698887238279","0.059290315955877304","0.059290315955877304","0.059290315955877304","0.0006837250548414886","0.0006837250548414886","0.0006837250548414886","0.10610833764076233","0.10610833764076233","0.10610833764076233"
"35","0.00042144503095187247","0.00042144503095187247","0.00042144503095187247","0.0468825101852417","0.0468825101852417","0.0468825101852417","0.00059794686967507","0.00059794686967507","0.00059794686967507","0.09050896018743515","0.09050896018743515","0.09050896018743515"
"37","0.00017866672715172172","0.00017866672715172172","0.00017866672715172172","0.04264136403799057","0.04264136403799057","0.04264136403799057","0.00021710469445679337","0.00021710469445679337","0.00021710469445679337","0.06344524770975113","0.06344524770975113","0.06344524770975113"
"39","0.00019225891446694732","0.00019225891446694732","0.00019225891446694732","0.044852402061223984","0.044852402061223984","0.044852402061223984","0.00018730171723291278","0.00018730171723291278","0.00018730171723291278","0.0630839616060257","0.0630839616060257","0.0630839616060257"
