"Step","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MIN","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MAX","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MIN","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MAX","experiment_dynamicKAE_e - forward loss","experiment_dynamicKAE_e - forward loss__MIN","experiment_dynamicKAE_e - forward loss__MAX","Maximal eigen-loss without eigen-initialisation - forward loss","Maximal eigen-loss without eigen-initialisation - forward loss__MIN","Maximal eigen-loss without eigen-initialisation - forward loss__MAX"
"17","0.2338121235370636","0.2338121235370636","0.2338121235370636","0.22417397797107697","0.22417397797107697","0.22417397797107697","0.23058849573135376","0.23058849573135376","0.23058849573135376","0.18649253249168396","0.18649253249168396","0.18649253249168396"
"18","0.24305757880210876","0.24305757880210876","0.24305757880210876","0.22427445650100708","0.22427445650100708","0.22427445650100708","0.22142758965492249","0.22142758965492249","0.22142758965492249","2.70088529586792","2.70088529586792","2.70088529586792"
"19","0.23845741152763367","0.23845741152763367","0.23845741152763367","0.22556062042713165","0.22556062042713165","0.22556062042713165","0.2260945588350296","0.2260945588350296","0.2260945588350296","0.27473607659339905","0.27473607659339905","0.27473607659339905"
"20","0.24161724746227264","0.24161724746227264","0.24161724746227264","0.22685350477695465","0.22685350477695465","0.22685350477695465","0.23524209856987","0.23524209856987","0.23524209856987","0.21781933307647705","0.21781933307647705","0.21781933307647705"
"21","0.23435288667678833","0.23435288667678833","0.23435288667678833","0.2129620760679245","0.2129620760679245","0.2129620760679245","0.2309415340423584","0.2309415340423584","0.2309415340423584","0.22186905145645142","0.22186905145645142","0.22186905145645142"
"22","0.23336149752140045","0.23336149752140045","0.23336149752140045","0.22427372634410858","0.22427372634410858","0.22427372634410858","0.2165454626083374","0.2165454626083374","0.2165454626083374","0.19630908966064453","0.19630908966064453","0.19630908966064453"
"23","0.22607147693634033","0.22607147693634033","0.22607147693634033","0.22264517843723297","0.22264517843723297","0.22264517843723297","0.22464117407798767","0.22464117407798767","0.22464117407798767","0.18166622519493103","0.18166622519493103","0.18166622519493103"
"24","0.22413258254528046","0.22413258254528046","0.22413258254528046","0.21532157063484192","0.21532157063484192","0.21532157063484192","0.2162284553050995","0.2162284553050995","0.2162284553050995","1.3269073963165283","1.3269073963165283","1.3269073963165283"
"25","0.2259856015443802","0.2259856015443802","0.2259856015443802","0.21589231491088867","0.21589231491088867","0.21589231491088867","0.2270554006099701","0.2270554006099701","0.2270554006099701","0.19277119636535645","0.19277119636535645","0.19277119636535645"
"26","0.21704019606113434","0.21704019606113434","0.21704019606113434","0.20912252366542816","0.20912252366542816","0.20912252366542816","0.21486398577690125","0.21486398577690125","0.21486398577690125","0.1924087554216385","0.1924087554216385","0.1924087554216385"
